scenario_id,flow,previous_audit_status,current_verified_status,closure_status,source_evidence,test_evidence,postgres_evidence,browser_evidence,remaining_gap,finding_id,notes
"A-001","DISCOVERY","FEATURE_GATED","VERIFIED_SOURCE","CLOSED_MAIN","apps/api/src/games/game-read-routes.ts; packages/database/src/game-repository.ts","game-read-routes.test.ts; game-repository.test.ts","NOT_APPLICABLE_OR_NOT_RUN","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Exact-head CI and real browser freeze remain","","Anonymous public list"
"A-002","DISCOVERY","FEATURE_GATED","VERIFIED_SOURCE","CLOSED_MAIN","apps/api/src/games/game-read-routes.ts; packages/database/src/game-repository.ts","game-read-routes.test.ts; game-repository.test.ts","NOT_APPLICABLE_OR_NOT_RUN","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Exact-head CI and real browser freeze remain","","Authenticated upcoming list"
"A-003","DISCOVERY","FEATURE_GATED","VERIFIED_SOURCE","CLOSED_MAIN","apps/api/src/games/game-read-routes.ts; packages/database/src/game-repository.ts","game-read-routes.test.ts; game-repository.test.ts","NOT_APPLICABLE_OR_NOT_RUN","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Exact-head CI and real browser freeze remain","","Authenticated history list"
"A-004","DISCOVERY","FEATURE_GATED","VERIFIED_SOURCE","CLOSED_MAIN","apps/api/src/games/game-read-routes.ts; packages/database/src/game-repository.ts","game-read-routes.test.ts; game-repository.test.ts","NOT_APPLICABLE_OR_NOT_RUN","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Exact-head CI and real browser freeze remain","","Public game detail"
"A-005","DISCOVERY","FEATURE_GATED","VERIFIED_SOURCE","CLOSED_MAIN","apps/api/src/games/game-read-routes.ts; packages/database/src/game-repository.ts","game-read-routes.test.ts; game-repository.test.ts","NOT_APPLICABLE_OR_NOT_RUN","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Exact-head CI and real browser freeze remain","","Authenticated game detail"
"A-006","DISCOVERY","MAIN_IMPLEMENTED","VERIFIED_SOURCE","CLOSED_MAIN","apps/api/src/games/game-read-routes.ts; packages/database/src/game-repository.ts","game-read-routes.test.ts; game-repository.test.ts","NOT_APPLICABLE_OR_NOT_RUN","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Exact-head CI and real browser freeze remain","","Wrong tenant key"
"A-007","DISCOVERY","UNKNOWN","VERIFIED_SOURCE","CLOSED_MAIN","apps/api/src/games/game-read-routes.ts; packages/database/src/game-repository.ts","game-read-routes.test.ts; game-repository.test.ts","NOT_APPLICABLE_OR_NOT_RUN","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Exact-head CI and real browser freeze remain","","Missing games.play on user read"
"A-008","DISCOVERY","MAIN_IMPLEMENTED","VERIFIED_SOURCE","CLOSED_MAIN","apps/api/src/games/game-read-routes.ts; packages/database/src/game-repository.ts","game-read-routes.test.ts; game-repository.test.ts","NOT_APPLICABLE_OR_NOT_RUN","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Exact-head CI and real browser freeze remain","","Cross-tenant game id"
"A-009","DISCOVERY","MAIN_IMPLEMENTED","VERIFIED_SOURCE","CLOSED_MAIN","apps/api/src/games/game-read-routes.ts; packages/database/src/game-repository.ts","game-read-routes.test.ts; game-repository.test.ts","NOT_APPLICABLE_OR_NOT_RUN","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Exact-head CI and real browser freeze remain","","Private game anonymous read"
"A-010","DISCOVERY","MAIN_PARTIAL","VERIFIED_SOURCE","CLOSED_MAIN","apps/api/src/games/game-read-routes.ts; packages/database/src/game-repository.ts","game-read-routes.test.ts; game-repository.test.ts","NOT_APPLICABLE_OR_NOT_RUN","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Exact-head CI and real browser freeze remain","","Cancelled game read/list visibility"
"A-011","DISCOVERY","FEATURE_GATED","VERIFIED_SOURCE","CLOSED_MAIN","apps/api/src/games/game-read-routes.ts; packages/database/src/game-repository.ts","game-read-routes.test.ts; game-repository.test.ts","NOT_APPLICABLE_OR_NOT_RUN","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Exact-head CI and real browser freeze remain","","Finished game history visibility"
"A-012","DISCOVERY","NOT_IMPLEMENTED","VERIFIED_SOURCE","CLOSED_MAIN","apps/api/src/games/game-read-routes.ts; packages/database/src/game-repository.ts","game-read-routes.test.ts; game-repository.test.ts","NOT_APPLICABLE_OR_NOT_RUN","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Exact-head CI and real browser freeze remain","","Deleted game lookup"
"A-013","DISCOVERY","MAIN_PARTIAL","VERIFIED_SOURCE","CLOSED_MAIN","apps/api/src/games/game-read-routes.ts; packages/database/src/game-repository.ts","game-read-routes.test.ts; game-repository.test.ts","NOT_APPLICABLE_OR_NOT_RUN","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Exact-head CI and real browser freeze remain","","Stale projection after mutation"
"A-014","DISCOVERY","MAIN_PARTIAL","VERIFIED_SOURCE","CLOSED_MAIN","apps/api/src/games/game-read-routes.ts; packages/database/src/game-repository.ts","game-read-routes.test.ts; game-repository.test.ts","NOT_APPLICABLE_OR_NOT_RUN","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Exact-head CI and real browser freeze remain","","Read-after-write before projection"
"A-015","DISCOVERY","MAIN_PARTIAL","VERIFIED_SOURCE","CLOSED_MAIN","apps/api/src/games/game-read-routes.ts; packages/database/src/game-repository.ts","game-read-routes.test.ts; game-repository.test.ts","NOT_APPLICABLE_OR_NOT_RUN","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Exact-head CI and real browser freeze remain","","Old client against expanded contract"
"A-016","DISCOVERY","FEATURE_GATED","VERIFIED_SOURCE","CLOSED_MAIN","apps/api/src/games/game-read-routes.ts; packages/database/src/game-repository.ts","game-read-routes.test.ts; game-repository.test.ts","NOT_APPLICABLE_OR_NOT_RUN","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Exact-head CI and real browser freeze remain","","Public recommendation game card"
"A-017","DISCOVERY","FEATURE_GATED","VERIFIED_SOURCE","CLOSED_MAIN","apps/api/src/games/game-read-routes.ts; packages/database/src/game-repository.ts","game-read-routes.test.ts; game-repository.test.ts","NOT_APPLICABLE_OR_NOT_RUN","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Exact-head CI and real browser freeze remain","","Home recommendation to detail"
"A-018","DISCOVERY","FEATURE_GATED","VERIFIED_SOURCE","CLOSED_MAIN","apps/api/src/games/game-read-routes.ts; packages/database/src/game-repository.ts","game-read-routes.test.ts; game-repository.test.ts","NOT_APPLICABLE_OR_NOT_RUN","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Exact-head CI and real browser freeze remain","","Booking recommendation to game detail"
"A-019","DISCOVERY","PROVIDER_DEPENDENT","VERIFIED_OWNERSHIP","CLOSED_LEGACY_OWNED","apps/api/src/games/game-read-routes.ts; packages/database/src/game-repository.ts","game-read-routes.test.ts; game-repository.test.ts","NOT_APPLICABLE_OR_NOT_RUN","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","See follow-up-findings.md","GL-LEGACY-OWNED","Legacy tournament summary read"
"A-020","DISCOVERY","NOT_IMPLEMENTED","VERIFIED_SOURCE","CLOSED_MAIN","apps/api/src/games/game-read-routes.ts; packages/database/src/game-repository.ts","game-read-routes.test.ts; game-repository.test.ts","NOT_APPLICABLE_OR_NOT_RUN","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Exact-head CI and real browser freeze remain","","Mobile games discovery parity"
"A-021","DISCOVERY","MAIN_IMPLEMENTED","VERIFIED_SOURCE","CLOSED_MAIN","apps/api/src/games/game-read-routes.ts; packages/database/src/game-repository.ts","game-read-routes.test.ts; game-repository.test.ts","NOT_APPLICABLE_OR_NOT_RUN","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Exact-head CI and real browser freeze remain","","Games read repository unavailable"
"B-001","CREATE","CONTRACT_ONLY","VERIFIED_SOURCE","CLOSED_MAIN","apps/api/src/games/game-routes.ts; packages/database/src/game-repository.ts; apps/web/src/CreateGamePage.tsx","game-routes.test.ts; game-repository.test.ts; CreateGamePage.test.tsx","Partial physical PG16 evidence in game-create-recovery-postgres.test.ts; see postgres-evidence.md","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Exact-head CI and real browser freeze remain","","Free game create in frozen main"
"B-002","CREATE","PENDING_PR","VERIFIED_SOURCE","CLOSED_MAIN","apps/api/src/games/game-routes.ts; packages/database/src/game-repository.ts; apps/web/src/CreateGamePage.tsx","game-routes.test.ts; game-repository.test.ts; CreateGamePage.test.tsx","Partial physical PG16 evidence in game-create-recovery-postgres.test.ts; see postgres-evidence.md","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Exact-head CI and real browser freeze remain","","Free game create in PR #135"
"B-003","CREATE","PENDING_PR","VERIFIED_SOURCE","CLOSED_MAIN","apps/api/src/games/game-routes.ts; packages/database/src/game-repository.ts; apps/web/src/CreateGamePage.tsx","game-routes.test.ts; game-repository.test.ts; CreateGamePage.test.tsx","Partial physical PG16 evidence in game-create-recovery-postgres.test.ts; see postgres-evidence.md","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Exact-head CI and real browser freeze remain","","Free public auto-publication PR #135"
"B-004","CREATE","PENDING_PR","VERIFIED_SOURCE","CLOSED_MAIN","apps/api/src/games/game-routes.ts; packages/database/src/game-repository.ts; apps/web/src/CreateGamePage.tsx","game-routes.test.ts; game-repository.test.ts; CreateGamePage.test.tsx","Partial physical PG16 evidence in game-create-recovery-postgres.test.ts; see postgres-evidence.md","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Exact-head CI and real browser freeze remain","","Free private create PR #135"
"B-005","CREATE","PENDING_PR","VERIFIED_SOURCE","CLOSED_MAIN","apps/api/src/games/game-routes.ts; packages/database/src/game-repository.ts; apps/web/src/CreateGamePage.tsx","game-routes.test.ts; game-repository.test.ts; CreateGamePage.test.tsx","Partial physical PG16 evidence in game-create-recovery-postgres.test.ts; see postgres-evidence.md","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Exact-head CI and real browser freeze remain","","Capacity 2 create PR #135"
"B-006","CREATE","PENDING_PR","VERIFIED_SOURCE","CLOSED_MAIN","apps/api/src/games/game-routes.ts; packages/database/src/game-repository.ts; apps/web/src/CreateGamePage.tsx","game-routes.test.ts; game-repository.test.ts; CreateGamePage.test.tsx","Partial physical PG16 evidence in game-create-recovery-postgres.test.ts; see postgres-evidence.md","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Exact-head CI and real browser freeze remain","","Capacity 4 create PR #135"
"B-007","CREATE","PENDING_PR","VERIFIED_SOURCE","CLOSED_MAIN","apps/api/src/games/game-routes.ts; packages/database/src/game-repository.ts; apps/web/src/CreateGamePage.tsx","game-routes.test.ts; game-repository.test.ts; CreateGamePage.test.tsx","Partial physical PG16 evidence in game-create-recovery-postgres.test.ts; see postgres-evidence.md","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Exact-head CI and real browser freeze remain","","Waitlist enabled create PR #135"
"B-008","CREATE","PENDING_PR","VERIFIED_SOURCE","CLOSED_MAIN","apps/api/src/games/game-routes.ts; packages/database/src/game-repository.ts; apps/web/src/CreateGamePage.tsx","game-routes.test.ts; game-repository.test.ts; CreateGamePage.test.tsx","Partial physical PG16 evidence in game-create-recovery-postgres.test.ts; see postgres-evidence.md","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Exact-head CI and real browser freeze remain","","Waitlist disabled create PR #135"
"B-009","CREATE","PENDING_PR","VERIFIED_SOURCE","CLOSED_MAIN","apps/api/src/games/game-routes.ts; packages/database/src/game-repository.ts; apps/web/src/CreateGamePage.tsx","game-routes.test.ts; game-repository.test.ts; CreateGamePage.test.tsx","Partial physical PG16 evidence in game-create-recovery-postgres.test.ts; see postgres-evidence.md","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Exact-head CI and real browser freeze remain","","Unrestricted level create PR #135"
"B-010","CREATE","PENDING_PR","VERIFIED_SOURCE","CLOSED_MAIN","apps/api/src/games/game-routes.ts; packages/database/src/game-repository.ts; apps/web/src/CreateGamePage.tsx","game-routes.test.ts; game-repository.test.ts; CreateGamePage.test.tsx","Partial physical PG16 evidence in game-create-recovery-postgres.test.ts; see postgres-evidence.md","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Exact-head CI and real browser freeze remain","","Canonical min/max level create PR #135"
"B-011","CREATE","PENDING_PR","VERIFIED_SOURCE","CLOSED_MAIN","apps/api/src/games/game-routes.ts; packages/database/src/game-repository.ts; apps/web/src/CreateGamePage.tsx","game-routes.test.ts; game-repository.test.ts; CreateGamePage.test.tsx","Partial physical PG16 evidence in game-create-recovery-postgres.test.ts; see postgres-evidence.md","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Exact-head CI and real browser freeze remain","","Invalid/inverted level range"
"B-012","CREATE","PENDING_PR","VERIFIED_SOURCE","CLOSED_MAIN","apps/api/src/games/game-routes.ts; packages/database/src/game-repository.ts; apps/web/src/CreateGamePage.tsx","game-routes.test.ts; game-repository.test.ts; CreateGamePage.test.tsx","Partial physical PG16 evidence in game-create-recovery-postgres.test.ts; see postgres-evidence.md","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Exact-head CI and real browser freeze remain","","Past start time"
"B-013","CREATE","PENDING_PR","VERIFIED_SOURCE","CLOSED_MAIN","apps/api/src/games/game-routes.ts; packages/database/src/game-repository.ts; apps/web/src/CreateGamePage.tsx","game-routes.test.ts; game-repository.test.ts; CreateGamePage.test.tsx","Partial physical PG16 evidence in game-create-recovery-postgres.test.ts; see postgres-evidence.md","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Exact-head CI and real browser freeze remain","","End before start"
"B-014","CREATE","PENDING_PR","VERIFIED_SOURCE","CLOSED_MAIN","apps/api/src/games/game-routes.ts; packages/database/src/game-repository.ts; apps/web/src/CreateGamePage.tsx","game-routes.test.ts; game-repository.test.ts; CreateGamePage.test.tsx","Partial physical PG16 evidence in game-create-recovery-postgres.test.ts; see postgres-evidence.md","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Exact-head CI and real browser freeze remain","","Invalid timezone"
